domain,AWeber,Acuity Ads,Acxiom,AdGear,AdMarvel,AdRoll,AdScale,Adap.tv,Adblade,AddThis,Adform,Adloox,Admedo,Admeta,Admixer,Adobe Audience Manager,Advertise.com,Advertising.com,Aggregate Knowledge,Amazon Associates,AppNexus,Audience Science,BidSwitch,BlueCava,BlueKai,BrightRoll,Chameleon,Chango,ChartBeat,Clearstream.TV,Connexity,Content.ad,Conversant,Convertro,Crimtan,Criteo,DataXu,Datalogix,Delta Projects,Digilant,Dotomi,DoubleClick,DoubleClick Ad Exchange-Buyer,DoubleClick Ad Exchange-Seller,DoubleClick Spotlight,Drawbridge,Dstillery,EQ Advertising,Earnify,Eyeota,Eyeview,Facebook Custom Audience,GetIntent,Google AdWords Conversion,Google Adsense,Google Dynamic Remarketing,Google Publisher Tags,Google Syndication,Improve Digital,Index Exchange (Formerly Casale Media),Infectious Media,InfoLinks,Innovid,Intent IQ,Internet BillBoard,Kixer,Krux Digital,Lanista Concepts,LiveRamp,Lotame,Magnetic,MarketGid,Media Innovation Group,Media.net,MediaMath,Nativo,NetSeer,Netmining,Newsmax,Nexage,OpenX,OwnerIQ,Pixalate,PowerLinks,Propeller Ads,PubMatic,PulsePoint,Q1Media,Quantcast,RevContent,Rocket Fuel,Rubicon,SMART AdServer,ScoreCard Research Beacon,SecuredVisit,Sekindo,Semasio,ShareThis,ShareThrough,Simpli.fi,SiteScout,SkimLinks,Smaato,SmartClip,Sonobi,SpotXchange,Spoutable,StickyAds,Switch Concepts,Taboola,Tapad,Teads,TradeDesk,Tremor Media,Tribal Fusion,TripleLift,TubeMogul,Turn Inc.,Twitter Advertising,Tynt,Undertone,Unruly Media,VIVALU,Veruta,Videology,VigLink,Visible Measures,Yahoo Ad Exchange,Yahoo Ad Manager Plus,Yashi,Yieldlab,YllixMedia,[x+1],adingo,adsnative,eXelate,eyeReturn Marketing,gumgum,i-Behavior,myThings,sovrn (formerly Lijit Networks)
thefrt.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Kept,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
thenationalsun.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Removed,Never,Removed,Never,Removed,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Removed,Never,Never,Never,Never,Never,Never,Removed,Never,Removed,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Removed,Removed,Never,Never,Never,Removed,Removed,Never,Never,Never,Never,Removed,Removed,Removed,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never
thenewsnerd.com,Never,Never,Added,Never,Never,Never,Added,Never,Added,Added,Kept,Never,Added,Never,Added,Kept,Never,Kept,Added,Never,Kept,Never,Added,Never,Kept,Kept,Never,Added,Never,Never,Added,Added,Kept,Removed,Never,Never,Added,Never,Never,Added,Added,Kept,Never,Kept,Never,Added,Added,Added,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Added,Kept,Kept,Never,Never,Never,Never,Never,Never,Added,Added,Added,Never,Never,Added,Kept,Added,Added,Never,Never,Never,Never,Added,Added,Added,Never,Kept,Added,Never,Added,Never,Never,Added,Never,Added,Never,Never,Never,Never,Added,Added,Added,Never,Never,Never,Never,Added,Never,Never,Added,Added,Never,Added,Added,Never,Never,Added,Never,Never,Never,Never,Never,Added,Never,Added,Added,Never,Never,Added,Kept,Added,Never,Never,Never,Never,Added,Added,Never,Added,Never,Never,Never
thenochill.com,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Removed,Never,Kept,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Kept,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Removed,Removed,Never,Removed,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
theracketreport.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
thevalleyreport.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Added,Never,Kept,Added,Never,Added,Never,Never,Added,Never,Added,Never,Added,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Kept,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Added,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Added,Never,Added,Never,Added,Added,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Added,Added,Never,Added,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never
tmzcomedy.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Kept,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
tmzhiphop.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Kept,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Kept,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
tmzworldnews.com,Added,Never,Added,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Added,Added,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Removed,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Kept,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never
unitedmediapublishing.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never
uspoln.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Added,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
viralpropaganda.com,Added,Never,Added,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Added,Added,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Removed,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never
witscience.org,Never,Never,Never,Never,Never,Never,Removed,Never,Removed,Removed,Never,Never,Never,Never,Never,Removed,Never,Removed,Never,Never,Removed,Never,Removed,Never,Never,Never,Never,Removed,Never,Never,Removed,Removed,Never,Never,Never,Never,Removed,Never,Never,Removed,Removed,Kept,Never,Kept,Never,Removed,Removed,Removed,Never,Never,Never,Never,Never,Never,Kept,Never,Removed,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Removed,Never,Removed,Never,Removed,Removed,Removed,Removed,Removed,Never,Never,Never,Never,Removed,Never,Removed,Never,Removed,Removed,Never,Never,Never,Never,Removed,Never,Kept,Never,Never,Never,Never,Removed,Removed,Removed,Never,Never,Never,Never,Never,Never,Never,Removed,Kept,Never,Removed,Removed,Never,Never,Removed,Never,Never,Never,Never,Never,Removed,Never,Removed,Removed,Never,Never,Removed,Never,Removed,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Never,Never
worldnewsdailyreport.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Removed,Never,Removed,Never,Removed,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Removed,Never,Removed,Never,Never,Never,Never,Never,Never,Removed,Never,Removed,Removed,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Removed,Removed,Removed,Never,Never,Never,Removed,Removed,Never,Never,Never,Never,Removed,Never,Removed,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Removed,Never,Never,Never
